ID,Year,Longitude,Latitude,Plant area m2,road_PA,Open_habitat_boundary,plant dryness,Patch shadow,Rainfall_August,Rainfall_July,Ext,Sh,Sm,Sp
1003,2003,3110184.03288845,6713797.61781392,6,FALSE,FALSE,15,1,44.4998396738,16.3936392828,1,1.98454580236856,0.120429049797833,0.00029348750693091
1004,2002,3110317.67163922,6703016.79994528,150,FALSE,TRUE,50,1,5.5402456936,42.6736922286,1,0.658795373821226,0.238621268658123,0.00180615744266915
1004,2007,3110317.67163922,6703016.79994528,230,FALSE,TRUE,1,1,52.5079253676,40.1403479942,0,0.658795373821226,0.0851126740827666,0.0849656930716503
1004,2008,3110317.67163922,6703016.79994528,500,FALSE,TRUE,5,1,69.724680435,11.1641633129,1,0.658795373821226,0.000414936008185529,3.26E-05
1010,2008,3103798.32369249,6702252.08138713,0.6,TRUE,TRUE,20,1,67.70462806,11.0462840346,0,6.63540751850308,0.866587982735108,5.18E-06
1018,2011,3117831.10302991,6707219.87115236,1,TRUE,TRUE,0.5,2,57.6100758888,38.0388025066,1,0.374167100657304,0.200274390622571,0.0513162133403698
1019,2002,3118588.00373505,6704341.99316388,700,TRUE,TRUE,65,1,3.6323249621,44.5464940645,1,7.35241097750424,0.00504812276496609,7.37E-07
1019,2011,3118588.00373505,6704341.99316388,150,TRUE,TRUE,0,1,39.5661284881,31.8671620256,1,7.35241097750424,2.73924348960107,0.229102539541
1030,2011,3095250.62597822,6698469.2742326,100,FALSE,TRUE,5,2,37.5754058994,79.4282625224,1,0.89498325784385,1.37679336868844,1.3561274147553
1038,2008,3103113.87516318,6692977.53893124,43,TRUE,TRUE,15,2,76.7192055288,18.0951852687,0,3.73069953160489,3.75256434680219,3.74515523683306
1038,2009,3103113.87516318,6692977.53893124,37.6,TRUE,TRUE,5,2,62.0324251633,53.2464956613,0,3.73069953160489,0.0569225601888275,0.0032835402072389
1038,2012,3103113.87516318,6692977.53893124,20,TRUE,TRUE,15,2,68.5007730255,40.0669881992,0,3.73069953160489,1.95690398302055,1.92663899548022
